year,Date,C58157
2021,44197,0.37
2021,44198,1.14
2021,44199,0.73
2021,44200,0.24
2021,44201,0.39
2021,44202,0.16
2021,44203,0.4
2021,44204,0.21
2021,44205,0.32
2021,44206,0.13
2021,44207,0.18
2021,44208,0.3
2021,44209,-0.05
2021,44210,-0.04
2021,44211,-0.08
2021,44212,0.17
2021,44213,0.12
2021,44214,0.18
2021,44215,0.26
2021,44216,0.23
2021,44217,0.15
2021,44218,0.32
2021,44219,0.37
2021,44220,0.19
2021,44221,0.18
2021,44222,0.23
2021,44223,0.3
2021,44224,0.17
2021,44225,0.33
2021,44226,0.44
2021,44227,0.93
2021,44228,0.42
2021,44229,0.45
2021,44230,0.54
2021,44231,0.45
2021,44232,0.77
2021,44233,1.11
2021,44234,0.99
2021,44235,0.36
2021,44236,0.55
2021,44237,0.28
2021,44238,0.51
2021,44239,0.75
2021,44240,1.5
2021,44241,1.49
2021,44242,0.83
2021,44243,0.51
2021,44244,1.93
2021,44245,1.64
2021,44246,1.39
2021,44247,1.18
2021,44248,1.49
2021,44249,0.51
2021,44250,1.05
2021,44251,1.2
2021,44252,0.91
2021,44253,0.71
2021,44254,1.77
2021,44255,1.73
2021,44256,1.16
2021,44257,1.11
2021,44258,1.41
2021,44259,1.36
2021,44260,1.23
2021,44261,1.14
2021,44262,1.45
2021,44263,2.08
2021,44264,2.21
2021,44265,2.32
2021,44266,2.61
2021,44267,2.24
2021,44268,2.27
2021,44269,1.73
2021,44270,0.95
2021,44271,0.97
2021,44272,1.29
2021,44273,2.33
2021,44274,2.86
2021,44275,1.74
2021,44276,2.04
2021,44277,2.65
2021,44278,2.36
2021,44279,2.27
2021,44280,2.47
2021,44281,2.89
2021,44282,1.5
2021,44283,1.96
2021,44284,1.7
2021,44285,1.82
2021,44286,0.9
2021,44287,0.52
2021,44288,1.57
2021,44289,1.84
2021,44290,0.96
2021,44291,0.88
2021,44292,1.71
2021,44293,2.4
2021,44294,1.14
2021,44295,1.93
2021,44296,1.96
2021,44297,3.13
2021,44298,3.7
2021,44299,1.56
2021,44300,2.46
2021,44301,2.74
2021,44302,3.11
2021,44303,4.15
2021,44304,3.65
2021,44305,3.41
2021,44306,3.91
2021,44307,3.79
2021,44308,3.21
2021,44309,3.53
2021,44310,4.16
2021,44311,2.01
2021,44312,1.95
2021,44313,3.1
2021,44314,3.59
2021,44315,2.23
2021,44316,2.49
2021,44317,2.44
2021,44318,3.93
2021,44319,3.83
2021,44320,3.26
2021,44321,2.25
2021,44322,3.11
2021,44323,2.53
2021,44324,3.23
2021,44325,4.18
2021,44326,4.13
2021,44327,5.31
2021,44328,3.39
2021,44329,3.94
2021,44330,4.25
2021,44331,5.21
2021,44332,4.12
2021,44333,4.51
2021,44334,4.55
2021,44335,4.45
2021,44336,1.96
2021,44337,3.85
2021,44338,4.29
2021,44339,2.27
2021,44340,2.83
2021,44341,3.62
2021,44342,3.53
2021,44343,3.65
2021,44344,3.71
2021,44345,2.37
2021,44346,2.92
2021,44347,3.72
2021,44348,3.82
2021,44349,4.41
2021,44350,4.13
2021,44351,5.32
2021,44352,1.41
2021,44353,3.54
2021,44354,2.22
2021,44355,1.61
2021,44356,3.36
2021,44357,3.87
2021,44358,4.37
2021,44359,4.54
2021,44360,3.88
2021,44361,4.53
2021,44362,5.05
2021,44363,5.05
2021,44364,5.81
2021,44365,6.51
2021,44366,3.87
2021,44367,3.67
2021,44368,2.67
2021,44369,4.99
2021,44370,5.4
2021,44371,3.15
2021,44372,2.72
2021,44373,2.64
2021,44374,2.3
2021,44375,4.53
2021,44376,4.95
2021,44377,1.9
2021,44378,3.79
2021,44379,4.66
2021,44380,4.4
2021,44381,4.51
2021,44382,4.14
2021,44383,3.77
2021,44384,3
2021,44385,4.45
2021,44386,4.3
2021,44387,3.76
2021,44388,4.3
2021,44389,4.85
2021,44390,6.37
2021,44391,4.51
2021,44392,4.18
2021,44393,1.52
2021,44394,5.01
2021,44395,6
2021,44396,7.6
2021,44397,3.6
2021,44398,1.35
2021,44399,3.12
2021,44400,4.19
2021,44401,5.64
2021,44402,4.88
2021,44403,3.25
2021,44404,3.85
2021,44405,4.63
2021,44406,4.8
2021,44407,4.01
2021,44408,4.19
2021,44409,3.13
2021,44410,4.85
2021,44411,5.13
2021,44412,3.58
2021,44413,3.09
2021,44414,3.92
2021,44415,4.58
2021,44416,4.62
2021,44417,5.16
2021,44418,5.95
2021,44419,5.89
2021,44420,6.43
2021,44421,5.85
2021,44422,4.82
2021,44423,3.77
2021,44424,3.98
2021,44425,2.51
2021,44426,2.59
2021,44427,2.34
2021,44428,3.72
2021,44429,3.07
2021,44430,3.57
2021,44431,3.98
2021,44432,4.09
2021,44433,4.71
2021,44434,2.71
2021,44435,2.66
2021,44436,4.3
2021,44437,3.82
2021,44438,4.35
2021,44439,3.86
2021,44440,4.21
2021,44441,3.86
2021,44442,2.4
2021,44443,3.46
2021,44444,3.99
2021,44445,3.5
2021,44446,2.81
2021,44447,2.19
2021,44448,1.62
2021,44449,1.85
2021,44450,2.06
2021,44451,2.82
2021,44452,1.26
2021,44453,0.54
2021,44454,1.29
2021,44455,1.4
2021,44456,0.99
2021,44457,1.59
2021,44458,1.64
2021,44459,1.34
2021,44460,1.5
2021,44461,1.88
2021,44462,1.43
2021,44463,0.71
2021,44464,1.35
2021,44465,0.72
2021,44466,0.95
2021,44467,1.34
2021,44468,1.2
2021,44469,1.48
2021,44470,1.82
2021,44471,0.63
2021,44472,1.08
2021,44473,1.39
2021,44474,1.97
2021,44475,1.81
2021,44476,1.57
2021,44477,1.39
2021,44478,1.28
2021,44479,1.35
2021,44480,0.97
2021,44481,0.98
2021,44482,1.02
2021,44483,0.7
2021,44484,0.83
2021,44485,1.14
2021,44486,0.92
2021,44487,0.85
2021,44488,0.67
2021,44489,1.04
2021,44490,1.48
2021,44491,1.17
2021,44492,1.44
2021,44493,2.26
2021,44494,1.15
2021,44495,1.55
2021,44496,1.74
2021,44497,1.93
2021,44498,1.75
2021,44499,1.08
2021,44500,0.88
2021,44501,2.21
2022,44562,0.38
2022,44563,1.14
2022,44564,0.73
2022,44565,0.24
2022,44566,0.39
2022,44567,0.16
2022,44568,0.4
2022,44569,0.21
2022,44570,0.32
2022,44571,0.13
2022,44572,0.18
2022,44573,0.3
2022,44574,-0.05
2022,44575,-0.04
2022,44576,-0.08
2022,44577,0.17
2022,44578,0.12
2022,44579,0.18
2022,44580,0.26
2022,44581,0.23
2022,44582,0.15
2022,44583,0.32
2022,44584,0.37
2022,44585,0.19
2022,44586,0.18
2022,44587,0.23
2022,44588,0.3
2022,44589,0.17
2022,44590,0.33
2022,44591,0.44
2022,44592,0.93
2022,44593,0.42
2022,44594,0.45
2022,44595,0.54
2022,44596,0.45
2022,44597,0.77
2022,44598,1.11
2022,44599,0.99
2022,44600,0.36
2022,44601,0.55
2022,44602,0.28
2022,44603,0.51
2022,44604,0.75
2022,44605,1.5
2022,44606,1.49
2022,44607,0.83
2022,44608,0.51
2022,44609,1.93
2022,44610,1.64
2022,44611,1.39
2022,44612,1.18
2022,44613,1.49
2022,44614,0.51
2022,44615,1.05
2022,44616,1.2
2022,44617,0.91
2022,44618,0.71
2022,44619,1.77
2022,44620,1.73
2022,44621,1.16
2022,44622,1.11
2022,44623,1.41
2022,44624,1.36
2022,44625,1.23
2022,44626,1.14
2022,44627,1.45
2022,44628,2.08
2022,44629,2.21
2022,44630,2.32
2022,44631,2.61
2022,44632,2.24
2022,44633,2.27
2022,44634,1.73
2022,44635,0.95
2022,44636,0.97
2022,44637,1.29
2022,44638,2.33
2022,44639,2.86
2022,44640,1.74
2022,44641,2.04
2022,44642,2.65
2022,44643,2.36
2022,44644,2.27
2022,44645,2.47
2022,44646,2.89
2022,44647,1.5
2022,44648,1.96
2022,44649,1.7
2022,44650,1.82
2022,44651,0.9
2022,44652,0.52
2022,44653,1.57
2022,44654,1.84
2022,44655,0.96
2022,44656,0.88
2022,44657,1.71
2022,44658,2.4
2022,44659,1.14
2022,44660,1.93
2022,44661,1.96
2022,44662,3.13
2022,44663,3.7
2022,44664,1.56
2022,44665,2.46
2022,44666,2.74
2022,44667,3.11
2022,44668,4.15
2022,44669,3.65
2022,44670,3.41
2022,44671,3.91
2022,44672,3.79
2022,44673,3.21
2022,44674,3.53
2022,44675,4.16
2022,44676,2.01
2022,44677,1.95
2022,44678,3.1
2022,44679,3.59
2022,44680,2.23
2022,44681,2.49
2022,44682,2.44
2022,44683,3.93
2022,44684,3.83
2022,44685,3.26
2022,44686,2.25
2022,44687,3.11
2022,44688,2.53
2022,44689,3.23
2022,44690,4.18
2022,44691,4.13
2022,44692,5.31
2022,44693,3.39
2022,44694,3.94
2022,44695,4.25
2022,44696,5.21
2022,44697,4.12
2022,44698,4.51
2022,44699,4.55
2022,44700,4.45
2022,44701,1.96
2022,44702,3.85
2022,44703,4.29
2022,44704,2.27
2022,44705,2.83
2022,44706,3.62
2022,44707,3.53
2022,44708,3.65
2022,44709,3.71
2022,44710,2.37
2022,44711,2.92
2022,44712,3.72
2022,44713,3.82
2022,44714,4.41
2022,44715,4.13
2022,44716,5.32
2022,44717,1.41
2022,44718,3.54
2022,44719,2.22
2022,44720,1.61
2022,44721,3.36
2022,44722,3.87
2022,44723,4.37
2022,44724,4.54
2022,44725,3.88
2022,44726,4.53
2022,44727,5.05
2022,44728,5.05
2022,44729,5.81
2022,44730,6.51
2022,44731,3.87
2022,44732,3.67
2022,44733,2.67
2022,44734,4.99
2022,44735,5.4
2022,44736,3.15
2022,44737,2.72
2022,44738,2.64
2022,44739,2.3
2022,44740,4.53
2022,44741,4.95
2022,44742,1.9
2022,44743,3.79
2022,44744,4.66
2022,44745,4.4
2022,44746,4.51
2022,44747,4.14
2022,44748,3.77
2022,44749,3
2022,44750,4.45
2022,44751,4.3
2022,44752,3.76
2022,44753,4.3
2022,44754,4.85
2022,44755,6.37
2022,44756,4.51
2022,44757,4.18
2022,44758,1.52
2022,44759,5.01
2022,44760,6
2022,44761,7.6
2022,44762,3.6
2022,44763,1.35
2022,44764,3.12
2022,44765,4.19
2022,44766,5.64
2022,44767,4.88
2022,44768,3.25
2022,44769,3.85
2022,44770,4.63
2022,44771,4.8
2022,44772,4.01
2022,44773,4.19
2022,44774,3.13
2022,44775,4.85
2022,44776,5.13
2022,44777,3.58
2022,44778,3.09
2022,44779,3.92
2022,44780,4.58
2022,44781,4.62
2022,44782,5.16
2022,44783,5.95
2022,44784,5.89
2022,44785,6.43
2022,44786,5.85
2022,44787,4.82
2022,44788,3.77
2022,44789,3.98
2022,44790,2.51
2022,44791,2.59
2022,44792,2.34
2022,44793,3.72
2022,44794,3.07
2022,44795,3.57
2022,44796,3.98
2022,44797,4.09
2022,44798,4.71
2022,44799,2.71
2022,44800,2.66
2022,44801,4.3
2022,44802,3.82
2022,44803,4.35
2022,44804,3.86
2022,44805,4.21
2022,44806,3.86
2022,44807,2.4
2022,44808,3.46
2022,44809,3.99
2022,44810,3.5
2022,44811,2.81
2022,44812,2.19
2022,44813,1.62
2022,44814,1.85
2022,44815,2.06
2022,44816,2.82
2022,44817,1.26
2022,44818,0.54
2022,44819,1.29
2022,44820,1.4
2022,44821,0.99
2022,44822,1.59
2022,44823,1.64
2022,44824,1.34
2022,44825,1.5
2022,44826,1.88
2022,44827,1.43
2022,44828,0.71
2022,44829,1.35
2022,44830,0.72
2022,44831,0.95
2022,44832,1.34
2022,44833,1.2
2022,44834,1.48
2022,44835,1.82
2022,44836,0.63
2022,44837,1.08
2022,44838,1.39
2022,44839,1.97
2022,44840,1.81
2022,44841,1.57
2022,44842,1.39
2022,44843,1.28
2022,44844,1.35
2022,44845,0.97
2022,44846,0.98
2022,44847,1.02
2022,44848,0.7
2022,44849,0.83
2022,44850,1.14
2022,44851,0.92
2022,44852,0.85
2022,44853,0.67
2022,44854,1.04
2022,44855,1.48
2022,44856,1.17
2022,44857,1.44
2022,44858,2.26
2022,44859,1.15
2022,44860,1.55
2022,44861,1.74
2022,44862,1.93
2022,44863,1.75
2022,44864,1.08
2022,44865,0.88
2022,44866,2.21
2023,44927,0.98
2023,44928,0.3
2023,44929,0.1
2023,44930,0.27
2023,44931,0.24
2023,44932,0.31
2023,44933,0.28
2023,44934,0.18
2023,44935,0.23
2023,44936,0.13
2023,44937,0.35
2023,44938,0.41
2023,44939,0.38
2023,44940,0.29
2023,44941,0.33
2023,44942,0.26
2023,44943,-0.06
2023,44944,-0.03
2023,44945,0.15
2023,44946,0.21
2023,44947,0.06
2023,44948,0.22
2023,44949,0.26
2023,44950,0.29
2023,44951,0.24
2023,44952,0.22
2023,44953,0.36
2023,44954,0.37
2023,44955,0.17
2023,44956,0.29
2023,44957,0.21
2023,44958,0.35
2023,44959,0.42
2023,44960,0.37
2023,44961,0.32
2023,44962,0.41
2023,44963,0.29
2023,44964,0.26
2023,44965,0.39
2023,44966,0.5
2023,44967,0.44
2023,44968,0.35
2023,44969,0.42
2023,44970,0.39
2023,44971,0.49
2023,44972,0.61
2023,44973,0.67
2023,44974,0.6
2023,44975,0.4
2023,44976,0.55
2023,44977,0.6
2023,44978,0.67
2023,44979,0.55
2023,44980,0.41
2023,44981,0.58
2023,44982,0.62
2023,44983,0.91
2023,44984,0.96
2023,44985,0.81
2023,44986,0.79
2023,44987,0.88
2023,44988,0.37
2023,44989,0.47
2023,44990,0.54
2023,44991,0.64
2023,44992,0.48
2023,44993,0.45
2023,44994,0.64
2023,44995,0.41
2023,44996,0.9
2023,44997,0.93
2023,44998,0.88
2023,44999,0.74
2023,45000,0.96
2023,45001,2.18
2023,45002,2.26
2023,45003,1.3
2023,45004,0.84
2023,45005,0.96
2023,45006,1.6
2023,45007,1.21
2023,45008,1.32
2023,45009,1.54
2023,45010,1.57
2023,45011,0.81
2023,45012,1.12
2023,45013,1.14
2023,45014,2
2023,45015,2.09
2023,45016,1.14
2023,45017,0.62
2023,45018,0.44
2023,45019,2
2023,45020,1.95
2023,45021,1.94
2023,45022,0.85
2023,45023,1.22
2023,45024,1.2
2023,45025,1.92
2023,45026,2.09
2023,45027,1.96
2023,45028,1.3
2023,45029,1.95
2023,45030,1.9
2023,45031,2.76
2023,45032,0.75
2023,45033,1.14
2023,45034,2.3
2023,45035,2.69
2023,45036,1.55
2023,45037,2.23
2023,45038,1.03
2023,45039,1.59
2023,45040,1.36
2023,45041,1.44
2023,45042,2.23
2023,45043,2.81
2023,45044,2.5
2023,45045,1.16
2023,45046,2.38
2023,45047,1.87
2023,45048,1.98
2023,45049,3.43
2023,45050,4.33
2023,45051,1.83
2023,45052,2.19
2023,45053,1.17
2023,45054,2.72
2023,45055,1.02
2023,45056,1.44
2023,45057,1.96
2023,45058,1.74
2023,45059,3.04
2023,45060,2.53
2023,45061,2.72
2023,45062,2.72
2023,45063,2.83
2023,45064,3.22
2023,45065,3.72
2023,45066,3.66
2023,45067,3.5
2023,45068,1.93
2023,45069,2.24
2023,45070,2.85
2023,45071,3.87
2023,45072,3.91
2023,45073,4.39
2023,45074,4.57
2023,45075,4.09
2023,45076,4.49
2023,45077,4.86
2023,45078,4.69
2023,45079,3.94
2023,45080,4.49
2023,45081,4.96
2023,45082,4.82
2023,45083,4.5
2023,45084,4.26
2023,45085,4.24
2023,45086,5.1
2023,45087,5.72
2023,45088,3.9
2023,45089,4.22
2023,45090,5.68
2023,45091,5.18
2023,45092,4.96
2023,45093,4.7
2023,45094,3.83
2023,45095,2.48
2023,45096,4.39
2023,45097,3.74
2023,45098,4.43
2023,45099,1.23
2023,45100,4.23
2023,45101,4.95
2023,45102,5.4
2023,45103,4.54
2023,45104,3.25
2023,45105,2.75
2023,45106,1.94
2023,45107,3.59
2023,45108,2.31
2023,45109,3.41
2023,45110,3.95
2023,45111,3.23
2023,45112,2.65
2023,45113,3.42
2023,45114,4.41
2023,45115,4.85
2023,45116,3.4
2023,45117,4.56
2023,45118,5.7
2023,45119,3.87
2023,45120,2.98
2023,45121,4.25
2023,45122,3.98
2023,45123,3.63
2023,45124,3.79
2023,45125,3.86
2023,45126,3.15
2023,45127,3.77
2023,45128,2.89
2023,45129,3.37
2023,45130,1.96
2023,45131,2.07
2023,45132,1.98
2023,45133,2.77
2023,45134,1.14
2023,45135,1.81
2023,45136,2.9
2023,45137,2.42
2023,45138,1.3
2023,45139,2.28
2023,45140,2.37
2023,45141,1.37
2023,45142,2.05
2023,45143,1.45
2023,45144,1.55
2023,45145,2.63
2023,45146,2.17
2023,45147,3.12
2023,45148,3.67
2023,45149,3.46
2023,45150,2.5
2023,45151,3.06
2023,45152,3.04
2023,45153,3.18
2023,45154,2.19
2023,45155,1.94
2023,45156,3.17
2023,45157,2.58
2023,45158,3.49
2023,45159,3.3
2023,45160,3.2
2023,45161,3.28
2023,45162,1.21
2023,45163,1.48
2023,45164,2.34
2023,45165,2.38
2023,45166,1.4
2023,45167,1.72
2023,45168,1.22
2023,45169,1.86
2023,45170,1.45
2023,45171,2.82
2023,45172,2.17
2023,45173,2.91
2023,45174,4.15
2023,45175,3.25
2023,45176,3.11
2023,45177,3
2023,45178,2.87
2023,45179,3.06
2023,45180,2.43
2023,45181,1.62
2023,45182,1.72
2023,45183,2.07
2023,45184,2.12
2023,45185,1.7
2023,45186,1.97
2023,45187,1.86
2023,45188,1.82
2023,45189,2.41
2023,45190,1.18
2023,45191,1.08
2023,45192,1.29
2023,45193,1.81
2023,45194,2.16
2023,45195,1.8
2023,45196,1.69
2023,45197,1.64
2023,45198,1.23
2023,45199,1.3
2023,45200,1.77
2023,45201,1.2
